time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-09T08:18:06.969Z,44.4797,-115.2405,12.05,2.5,ml,,62,0.393,1.01,us,us70008s9m,2020-04-09T19:31:58.160Z,"63km E of Cascade, Idaho",earthquake,1.6,9.8,0.05,52,reviewed,us,us
2020-04-09T08:09:16.765Z,44.5519,-115.2658,14.92,2.5,ml,,65,0.455,0.71,us,us70008s9h,2020-04-09T09:12:40.040Z,"61km E of Cascade, Idaho",earthquake,2.4,10,0.048,58,reviewed,us,us
2020-04-09T07:58:33.421Z,44.5279,-115.2406,17.05,2.9,ml,,65,0.438,0.55,us,us70008s94,2020-04-09T21:56:28.270Z,"63km E of Cascade, Idaho",earthquake,1.8,9.9,0.04,82,reviewed,us,us
2020-04-09T07:43:25.237Z,51.9796,-171.1627,53.71,4.1,mb,,177,3.027,1.22,us,us70008s8x,2020-04-09T08:36:38.040Z,"57km S of Amukta Island, Alaska",earthquake,9.6,10.1,0.074,50,reviewed,us,us
2020-04-09T07:43:23.637Z,53.4153,-171.8742,14.9,3.6,ml,,,,1.12,ak,ak0204li60es,2020-04-09T17:53:37.858Z,"111km NNW of Amukta Island, Alaska",earthquake,,3.5,,,reviewed,ak,ak
2020-04-09T07:38:53.360Z,17.8428,-66.838,7,2.68,md,14,256,0.1386,0.26,pr,pr2020100006,2020-04-09T07:53:49.496Z,"15km SSE of Maria Antonia, Puerto Rico",earthquake,0.87,0.69,0.32,12,reviewed,pr,pr
2020-04-09T07:15:37.290Z,33.5076667,-116.5298333,11.12,2.89,ml,117,27,0.04971,0.18,ci,ci39378536,2020-04-10T05:42:08.639Z,"14km ESE of Anza, CA",earthquake,0.1,0.24,0.157,175,reviewed,ci,ci
2020-04-09T07:02:37.269Z,12.6541,-88.1882,81.65,4.2,mb,,164,1.14,0.91,us,us70008s8l,2020-04-09T09:20:17.805Z,"61km SSW of Intipuca, El Salvador",earthquake,7.1,9,0.061,75,reviewed,us,us
2020-04-09T06:50:33.170Z,37.3172,71.8073,125.02,4.3,mb,,105,2.162,0.99,us,us70008s7x,2020-04-09T20:11:55.629Z,"6km NNW of Roshtqal'a, Tajikistan",earthquake,8.8,9.6,0.201,8,reviewed,us,us
2020-04-09T06:42:26.120Z,37.0458333,-112.9226667,12.44,2.78,ml,14,67,0.08568,0.17,uu,uu60376492,2020-04-09T20:48:05.059Z,"6km ENE of Hildale, Utah",earthquake,0.46,1.02,0.14,9,reviewed,uu,uu
2020-04-09T06:24:19.380Z,44.4824,-115.1952,10,3.7,ml,,98,0.408,0.64,us,us70008s7i,2020-04-10T12:22:30.663Z,"67km E of Cascade, Idaho",earthquake,2,2,0.03,144,reviewed,us,us
2020-04-09T05:30:12.730Z,17.9515,-66.8673,12,2.96,md,19,196,0.0264,0.13,pr,pr2020100004,2020-04-09T13:33:02.669Z,"6km SE of Guanica, Puerto Rico",earthquake,0.6,0.34,0.12,13,reviewed,pr,pr
2020-04-09T05:14:50.080Z,33.5068333,-116.5321667,11.03,3.05,ml,123,26,0.05054,0.2,ci,ci39378336,2020-04-10T06:39:22.230Z,"14km ESE of Anza, CA",earthquake,0.11,0.26,0.189,178,reviewed,ci,ci
2020-04-09T03:56:06.130Z,19.3326667,-155.169,1.1,2.55,ml,55,85,0.04654,0.12,hv,hv71465622,2020-04-09T21:36:53.240Z,"13km SSE of Volcano, Hawaii",earthquake,0.22,0.3,0.135,32,reviewed,hv,hv
2020-04-09T03:34:16.790Z,17.9303,-66.9061,7,2.72,md,18,210,0.0523,0.18,pr,pr2020100002,2020-04-09T03:47:17.544Z,"4km S of Guanica, Puerto Rico",earthquake,0.65,0.31,0.53,15,reviewed,pr,pr
2020-04-09T03:26:09.720Z,18.9891,-67.735,8,3.27,md,20,317,0.6566,0.34,pr,pr2020100003,2020-04-09T11:28:33.148Z,"85km NE of Punta Cana, Dominican Republic",earthquake,11.72,16.65,0.11,8,reviewed,pr,pr
2020-04-09T01:49:45.760Z,17.938,-66.8388,12,2.56,md,16,193,0.0549,0.23,pr,pr2020100000,2020-04-09T02:09:10.677Z,"6km SSW of Indios, Puerto Rico",earthquake,0.8,0.49,0.41,10,reviewed,pr,pr
2020-04-09T01:43:39.820Z,-1.8376,134.0941,38.01,4.6,mb,,221,2.133,0.78,us,us70008s4b,2020-04-09T02:03:07.040Z,"107km S of Manokwari, Indonesia",earthquake,12,12.7,0.132,17,reviewed,us,us
2020-04-09T01:41:19.578Z,44.5194,-115.3397,10,2.7,ml,,126,0.737,0.66,us,us70008s49,2020-04-09T01:50:45.040Z,"55km E of Cascade, Idaho",earthquake,3.8,2,0.047,60,reviewed,us,us
2020-04-09T01:18:12.297Z,63.0873,-148.5105,63,2.7,ml,,,,0.45,ak,ak0204leg0sa,2020-04-09T01:31:47.191Z,"36km SE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-04-09T01:09:45.195Z,44.2772,-115.0693,14.67,2.8,ml,,67,0.311,0.8,us,us70008s40,2020-04-09T01:18:09.040Z,"71km WSW of Challis, Idaho",earthquake,1.9,9.8,0.042,74,reviewed,us,us
2020-04-09T00:34:17.060Z,44.2693,-115.1963,10,2.5,ml,,65,0.233,0.98,us,us70008s3l,2020-04-09T00:45:15.040Z,"70km NE of Idaho City, Idaho",earthquake,2.5,2,0.048,56,reviewed,us,us
2020-04-08T23:49:48.990Z,36.5161667,-120.447,16.47,2.56,md,54,73,0.3147,0.19,nc,nc73366070,2020-04-09T04:49:02.970Z,"12km W of Cantua Creek, CA",earthquake,0.27,0.85,0.261,67,reviewed,nc,nc
2020-04-08T23:49:20.017Z,24.282,121.8728,25.09,4.4,mb,,68,0.275,0.76,us,us70008s3c,2020-04-09T00:35:23.040Z,"35km S of Su'ao, Taiwan",earthquake,4,5.7,0.105,26,reviewed,us,us
2020-04-08T23:42:08.200Z,17.9798,-66.9458,6,2.53,md,20,170,0.0668,0.13,pr,pr2020099029,2020-04-09T00:20:56.793Z,"3km WSW of Fuig, Puerto Rico",earthquake,0.33,0.18,0.27,9,reviewed,pr,pr
2020-04-08T22:17:06.574Z,44.3569,-115.1652,13.64,3.2,ml,,62,0.942,0.66,us,us70008s1l,2020-04-08T23:09:35.550Z,"72km ESE of Cascade, Idaho",earthquake,3,10.4,0.037,98,reviewed,us,us
2020-04-08T21:38:59.856Z,-15.6471,-70.2695,233.06,4.3,mb,,144,2.074,1.38,us,us70008s0d,2020-04-09T18:26:42.849Z,"13km WNW of Atuncolla, Peru",earthquake,11,10.4,0.126,18,reviewed,us,us
2020-04-08T21:33:28.560Z,17.9868,-66.7796,12,2.56,md,13,170,0.1003,0.15,pr,pr2020099028,2020-04-08T21:44:48.900Z,"3km SSE of Guayanilla, Puerto Rico",earthquake,0.6,0.36,0.25,8,reviewed,pr,pr
2020-04-08T21:17:39.230Z,17.8611,-66.8661,10,2.56,md,10,246,0.1147,0.14,pr,pr2020099027,2020-04-08T21:44:36.180Z,"13km SSE of Guanica, Puerto Rico",earthquake,0.74,1.4,0.2,7,reviewed,pr,pr
2020-04-08T21:06:35.030Z,17.9506,-66.8676,12,3.02,md,19,196,0.0271,0.11,pr,pr2020099026,2020-04-08T21:41:57.040Z,"9km S of Indios, Puerto Rico",earthquake,0.53,0.32,0.21,13,reviewed,pr,pr
2020-04-08T20:04:49.052Z,13.6734,-91.957,10,4.5,mb,,166,0.883,1.26,us,us70008rx6,2020-04-08T22:24:02.040Z,"69km S of Champerico, Guatemala",earthquake,8.9,0.8,0.047,130,reviewed,us,us
2020-04-08T19:52:00.200Z,44.3504,-115.2202,10,2.9,ml,,70,0.923,0.69,us,us70008rwd,2020-04-08T22:56:05.260Z,"67km ESE of Cascade, Idaho",earthquake,2.4,2,0.039,86,reviewed,us,us
